Name,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Filename,Internal ID,Unique Entry ID,Purchasable
aqua tile flooring,False,False,900,225,Light blue,Light blue,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorTile01,5036,JmNGqRhEow3PH7bgk,True
arabesque flooring,False,False,2120,530,Black,Gray,,Nook's Cranny,,1.0.0,expensive,living room,None,Cloth Floors,RoomTexFloorArabesque00,4953,4dabyuetmZD5dDdCH,True
arched-brick flooring,False,False,1100,275,Brown,Brown,,Nook's Cranny,,1.0.0,facility,shop,None,Arched Brick,RoomTexFloorArchBrick00,4998,CSPoYJzCnzWjqWrj5,True
argyle tile flooring,False,False,1750,437,White,Beige,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorTileWood00,4994,BH8PqRSou2XjQ8ppQ,True
artsy parquet flooring,False,False,1800,450,Beige,Beige,,Nook's Cranny,,1.0.0,facility,shop,None,Simple Parquet,RoomTexFloorParquetArt00,5232,fbfCzw546bWEF95Aq,True
backyard lawn,False,True,NFS,600,Green,Green,,Crafting,,1.0.0,garden,None,None,Grassland,RoomTexFloorLawn00,4979,kANgKb2s4a6pMSjnd,False
bamboo flooring,False,True,NFS,2400,Green,Beige,,Crafting,,1.0.0,zen-style,None,bamboo,Nature - Green,RoomTexFloorBamboo00,4964,gMeLjZdPobbrt58sT,False
basement flooring,False,True,NFS,1500,Gray,Gray,,Crafting,,1.0.0,horror,facility,None,Stone Floors,RoomTexFloorBasement00,4797,DgaMSqGEyko87dD3H,False
beige desert-tile flooring,False,False,2100,525,Beige,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Morocco,RoomTexFloorMorocco00,4965,yhH3pNWq8L8j48tHW,True
berry-chocolates flooring,False,False,3000,750,Pink,Pink,,Saharah,,1.0.0,fancy,None,None,Chocolate,RoomTexFloorChocolate02,5053,E7Mfi6saTnBEgW6o8,False
birch flooring,False,False,800,200,White,White,,Nook's Cranny,,1.0.0,living room,child's room,None,Wood Floors,RoomTexFloorBirch00,5032,2tg7thFuaxAAiDTsv,True
black iron-parquet flooring,False,False,2350,587,Black,White,,Nook's Cranny,,1.0.0,expensive,living room,None,Iron Parquet,RoomTexFloorParquetIron02,5066,24iNYeWLqkR2juaqx,True
black-brick flooring,False,False,1040,260,Black,Black,,Nook's Cranny,,1.0.0,facility,shop,None,Brick,RoomTexFloorBrick02,4976,9KuQFNKWxmCH4Wmvh,True
blue camo flooring,False,False,1320,330,Blue,Blue,,Nook's Cranny,,1.0.0,party,child's room,None,Camouflage,RoomTexFloorCamouflage01,5016,bGQTqfoWhW5TNdLM9,True
blue desert-tile flooring,False,False,2100,525,Blue,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Morocco,RoomTexFloorMorocco01,4966,zJsrCJgAeFsymNzjq,True
blue dot flooring,False,False,800,200,Blue,Light blue,,Nook's Cranny,,1.0.0,fancy,child's room,None,Dot,RoomTexFloorDot04,5028,cpSuDLw7NNyxB5fCs,True
blue floral flooring,False,False,1520,380,Blue,Blue,,Nook's Cranny,,1.0.0,shop,living room,None,Deco Wood,RoomTexFloorDecoWood01,5074,XMaNPpWPhwfMY6L5G,True
blue honeycomb tile,False,False,1420,355,Blue,Blue,,Nook's Cranny,,1.0.0,bathroom,facility,None,Honeycomb,RoomTexFloorHoneycomb01,5040,rYSDNLpsxE2ec3g9W,True
blue mosaic-tile flooring,False,False,900,225,Blue,Blue,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorTile03,6846,y7utgb97MDffD3CWY,True
blue rubber flooring,False,False,850,212,Blue,Light blue,,Nook's Cranny,,1.0.0,fitness,school,None,Rubber,RoomTexFloorRubber01,4954,4q43QAcimMHbzK76v,True
blue-paint flooring,False,False,1040,260,Light blue,White,,Nook's Cranny,,1.0.0,fancy,child's room,None,Painted Wood,RoomTexFloorPaintWood00,5057,gNCxEi69JzcmxXbxL,True
boxing-ring mat,False,False,3000,750,Blue,Blue,,Saharah,,1.0.0,fitness,None,None,Sports Floor,RoomTexFloorWrestling00,4982,45uLswcK6NpGkiLNj,False
brown argyle-tile flooring,False,False,1440,360,Brown,Brown,,Nook's Cranny,,1.0.0,expensive,facility,None,Argyle,RoomTexFloorArgyleTile01,5081,yBoSKBz6zX8i5upzp,True
brown floral flooring,False,False,1520,380,Brown,White,,Nook's Cranny,,1.0.0,shop,living room,None,Deco Wood,RoomTexFloorDecoWood02,5075,xY7NHtsvYjKMbACLu,True
brown honeycomb tile,False,False,1420,355,Brown,Brown,,Nook's Cranny,,1.0.0,bathroom,facility,None,Honeycomb,RoomTexFloorHoneycomb00,5038,ZpkkHEE23YB7QNvHx,True
brown iron-parquet flooring,False,False,2350,587,Beige,Beige,,Nook's Cranny,,1.0.0,expensive,living room,None,Iron Parquet,RoomTexFloorParquetIron01,5065,n48DyFP2iimp68t9Y,True
brown wedding flooring,,False,3000,750,None,None,,Wedding Season,,1.2.0,party,expensive,wedding,Tile Floors,RoomTexFloorMarbleTile01,12433,hmyWP64oXEsMwBPua,False
brown-brick flooring,False,False,1040,260,Brown,Brown,,Nook's Cranny,,1.0.0,facility,shop,None,Brick,RoomTexFloorBrick03,6849,pjTr8dw3cyN8eeZYv,True
Bunny Day flooring,False,True,NFS,4800,None,None,,Crafting,,1.1.0,fancy,child's room,Bunny Day,Dot,RoomTexFloorEaster00,12423,Q9QJSyTM3AzAWLBvD,False
camo flooring,False,False,1320,330,Black,Green,,Nook's Cranny,,1.0.0,party,child's room,None,Camouflage,RoomTexFloorCamouflage00,5015,DuqT3X6msNdXFvLHi,True
cherry-blossom flooring,False,True,NFS,4400,Pink,Pink,,Crafting,,1.0.0,garden,fancy,cherry blossoms,Nature - Fallen Leaves,RoomTexFloorSakura00,7204,ZhWmRmGQN5gZCao4y,False
circuit-board flooring,False,False,3000,750,Green,Green,,Saharah,,1.0.0,facility,None,None,Machine Floor,RoomTexFloorGeek00,5082,mqiB9cY9EEtRXQoFS,False
cloud flooring,True,False,3000,750,White,White,,Saharah,,1.0.0,fancy,None,None,Special Nature Floors,RoomSpFloorCloud00,5267,Gp6CWrou6RqPRPLH3,False
colored-leaves flooring,False,True,NFS,4300,Orange,Orange,,Crafting,,1.0.0,garden,None,tree's bounty or leaves,Nature - Fallen Leaves,RoomTexFloorAutumun00,4990,ZNpkS7gSLvRFR3qv4,False
colorful mosaic-tile flooring,False,False,900,225,Colorful,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorTile02,5037,FMtGXChPSm2y6edqK,True
colorful puzzle flooring,False,False,1450,362,Colorful,Colorful,,Nook's Cranny,,1.0.0,fancy,child's room,None,Puzzle Mat,RoomTexFloorPuzzleMat01,4957,snnsfZxLf3bLFCmSD,True
colorful tile flooring,False,False,1620,405,Colorful,Colorful,,Nook's Cranny,,1.0.0,living room,child's room,None,Panel,RoomTexFloorPanel01,5068,ANgxpCY6rprKk56wT,True
common flooring,False,False,720,180,Brown,Brown,,Nook's Cranny,,1.0.0,living room,school,None,Wood Floors,RoomTexFloorCommon00,5018,GQX6Cd7FiDHBwkfAv,True
concrete flooring,False,False,820,205,Gray,Gray,,Nook's Cranny,,1.0.0,garage,facility,None,Stone Floors,RoomTexFloorConcrete00,4951,r6hpZDG5eaceYuE3x,True
construction-site flooring,False,False,3000,750,Brown,White,,Saharah,,1.0.0,garage,facility,None,Sidewalk,RoomTexFloorConstruction00,5235,25pmfNgicXrDwQhZ9,False
cool vinyl flooring,False,False,1150,287,Blue,Gray,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker03,6844,RpwPS8ETt7nPHGTqR,True
cool-paint flooring,False,False,2200,550,Colorful,Colorful,,Nook's Cranny,,1.0.0,fancy,child's room,None,Colorful Wood,RoomTexFloorColorfulWood01,5071,P5vNHW2McCcqGk2Ru,True
cork flooring,False,False,1500,375,Beige,Beige,,Nook's Cranny,,1.0.0,school,music,None,Wood Floors,RoomTexFloorCork00,4969,YSWAiTZFDQXzbH8xM,True
crop-circles flooring,False,False,3000,750,Green,Green,,Saharah,,1.0.0,garden,None,None,Nature - Green,RoomTexFloorCropCircles00,5243,zvSD2W9Wsxs2wX82T,False
crosswalk flooring,False,False,3000,750,Beige,Black,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorSidewalk00,5007,DpkSGAyAuXwcmKcYT,False
cubic parquet flooring,False,False,1500,375,Orange,Orange,,Nook's Cranny,,1.0.0,living room,child's room,None,Simple Parquet,RoomTexFloorHoneycombWood00,4987,pTqSAheGagvxyCivv,True
cute blue-tile flooring,False,False,780,195,Blue,Blue,,Nook's Cranny,,1.0.0,fancy,child's room,None,Tile Floors,RoomTexFloorCute02,7221,QsGtuf59hbErv942T,True
cute red-tile flooring,False,False,780,195,Red,Pink,,Nook's Cranny,,1.0.0,fancy,child's room,None,Tile Floors,RoomTexFloorCute01,7220,TmfKeSsDh7FMpA6jG,True
cute white-tile flooring,False,False,780,195,White,White,,Nook's Cranny,,1.0.0,fancy,child's room,None,Tile Floors,RoomTexFloorCute00,7219,bXxKjx8AJp7PRKLZA,True
cute yellow-tile flooring,False,False,780,195,Yellow,Yellow,,Nook's Cranny,,1.0.0,fancy,child's room,None,Tile Floors,RoomTexFloorCute03,7222,CSeg3aQXkhPjwXSJS,True
cute-paint flooring,False,False,2200,550,Pink,Orange,,Nook's Cranny,,1.0.0,fancy,child's room,None,Colorful Wood,RoomTexFloorColorfulWood00,5070,W6ohXRHoCKsN4YLB8,True
daisy meadow,False,False,3000,750,Green,Green,,Saharah,,1.0.0,garden,None,None,Grassland,RoomTexFloorGrassland00,5005,3wxzHxXFvLCZ9CKg2,False
dark herringbone flooring,False,False,1200,300,Brown,Brown,,Nook's Cranny,,1.0.0,living room,shop,None,Herringbone,RoomTexFloorHerringbone01,5062,B2ZTCrRr7jnNR2ovs,True
dark parquet flooring,False,False,1560,390,Black,Gray,,Nook's Cranny,,1.0.0,living room,None,None,Country,RoomTexFloorCountry01,5025,rco8xXCvWkLSFYCRA,True
dark wood-pattern flooring,False,False,1500,375,Black,Black,,Nook's Cranny,,1.0.0,living room,shop,None,Simple Parquet,RoomTexFloorSimpleParquet01,4992,XtDikpNN55jn8zrja,True
dark-block flooring,False,False,1380,345,Brown,Brown,,Nook's Cranny,,1.0.0,school,None,None,Parquet,RoomTexFloorParquet01,5035,Brfw5JnsZKhxqhWYf,True
dark-chocolates flooring,False,False,3000,750,Brown,Brown,,Saharah,,1.0.0,fancy,None,None,Chocolate,RoomTexFloorChocolate00,5050,hyLXZQ7stKXetPcQv,False
dig-site flooring,False,False,3000,750,Brown,Beige,,Saharah,,1.0.0,garden,horror,None,Nature - Brown,RoomTexFloorStratum00,5011,4niZnD4Hiwrg9tF2G,False
dirt flooring,False,False,3000,750,Brown,Black,,Saharah,,1.0.0,garden,outdoors,None,Nature - Brown,RoomTexFloorCottonSoil00,4981,LYgxhvWvyPWAzWieZ,False
field flooring,False,False,3000,750,Brown,Brown,,Saharah,,1.0.0,garden,None,None,Nature - Brown,RoomTexFloorFarm00,4980,2zmEMZxmYHHNEGTQR,False
flagstone flooring,False,False,1700,425,Beige,Beige,,Nook's Cranny,,1.0.0,shop,facility,None,Stone Floors,RoomTexFloorFlagStone00,5031,NtuoKtiMbKoiY2xoy,True
floral mosaic-tile flooring,False,False,1080,270,White,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorMosaicTile00,4993,5wjjJXuu2A9EYJGgf,True
floral rush-mat flooring,False,False,3000,750,White,White,,Saharah,,1.0.0,fancy,zen-style,None,Japanese Style,RoomTexFloorRush00,4977,f9aYRhv4CwtmsYPNS,False
flowing-river flooring,True,False,3000,750,Gray,Light blue,,Saharah,,1.0.0,garden,None,None,Special Nature Floors,RoomSpFloorRiver00,5273,2EL3sCGxkgTQj533G,False
forest flooring,False,True,NFS,35000,Brown,Brown,,Crafting,,1.0.0,garden,horror,mush,Nature - Fallen Leaves,RoomTexFloorMushForest00,7186,ec3NaTs5Pk8z6HCC6,False
future-tech flooring,True,False,3000,750,Black,Black,,Saharah,,1.0.0,horror,folk art,None,Special Inorganic Floors,RoomSpFloorTechnology00,5250,eZweMfrfieMDtihv7,False
galaxy flooring,False,True,NFS,7500,Blue,Blue,,Crafting,,1.0.0,space,None,None,Special Nature Floors,RoomSpFloorGalaxy00,5269,XhFQDs3H9uCdikzkW,False
garbage-heap flooring,False,True,NFS,120,White,White,,Crafting,,1.0.0,horror,garage,None,Decadence,RoomTexFloorGarbage00,5236,iY9f7H5NjXBxxB6HQ,False
giraffe-print flooring,False,False,1300,325,Beige,Beige,,Nook's Cranny,,1.0.0,party,fancy,None,Animal Floor,RoomTexFloorAnimal01,4961,umJmHnuMQRMEeXB7Y,True
gold iron-parquet flooring,False,False,2350,587,Beige,Beige,,Nook's Cranny,,1.0.0,expensive,living room,None,Iron Parquet,RoomTexFloorParquetIron00,5064,R7g62hAfWLaJ2muuy,True
golden flooring,False,True,NFS,40000,Yellow,Yellow,,Crafting,,1.0.0,expensive,horror,golden,Luxury,RoomTexFloorGold00,5021,YrHA4R4RmkJLeYvJy,False
gravel flooring,False,False,3000,750,Gray,Gray,,Saharah,,1.0.0,garden,facility,None,Stone Floors,RoomTexFloorGravel00,4978,9jLaEjCCsiMHGLf9Y,False
gray argyle-tile flooring,False,False,1440,360,Gray,White,,Nook's Cranny,,1.0.0,expensive,facility,None,Argyle,RoomTexFloorArgyleTile00,5080,L5HHMxTjeAv2hLukh,True
gray vinyl flooring,False,False,1150,287,Gray,White,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker00,5046,hazZe9YtvTt7T8WJD,True
green floral flooring,False,False,1520,380,Green,Green,,Nook's Cranny,,1.0.0,shop,living room,None,Deco Wood,RoomTexFloorDecoWood03,6847,AaKjHGFteG5h2GBQn,True
green honeycomb tile,False,False,1420,355,Green,Green,,Nook's Cranny,,1.0.0,bathroom,facility,None,Honeycomb,RoomTexFloorHoneycomb02,5041,3T2nKNCHMxxQXkucQ,True
green retro flooring,False,False,1540,385,Green,Green,,Nook's Cranny,,1.0.0,kitchen,shop,None,Kitchen Floors,RoomTexFloorKitchen01,5045,RRFkhjtia4ayJy2cH,True
green rubber flooring,False,False,850,212,Green,Green,,Nook's Cranny,,1.0.0,fitness,school,None,Rubber,RoomTexFloorRubber00,4952,raqdEHfoLLbgfxpcR,True
green vinyl flooring,False,False,1150,287,Green,White,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker02,5048,zBGakmC9vX4Epuduf,True
green wedding flooring,,False,3000,750,None,None,,Wedding Season,,1.2.0,party,expensive,wedding,Tile Floors,RoomTexFloorMarbleTile02,12434,uhmt88jsXSHpkqswZ,False
green-paint flooring,False,False,1040,260,Green,Green,,Nook's Cranny,,1.0.0,fancy,child's room,None,Painted Wood,RoomTexFloorPaintWood01,5058,ZdsDu7KBmtngBLoe4,True
hexagonal floral flooring,False,False,860,215,White,White,,Nook's Cranny,,1.0.0,zen-style,shop,None,Tile Floors,RoomTexFloorHempTile00,4972,6frp588zeZqeDBSvp,True
highway flooring,False,False,3000,750,Gray,Beige,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorHighway00,5237,wrqigm79Kx7xbhPcb,False
honeycomb flooring,False,True,NFS,3000,Yellow,Yellow,,Crafting,,1.0.0,fancy,facility,None,Neta,RoomTexFloorHoney00,4999,Yi7YJpRkuc2DYxypg,False
ice flooring,True,True,NFS,8200,Light blue,Light blue,,Crafting,,1.0.0,freezing cold,facility,frozen,Special Nature Floors,RoomSpFloorIce00,5516,J63DSTu7u4tnwgLfR,False
iceberg flooring,True,True,NFS,4000,White,Light blue,,Crafting,,1.0.0,freezing cold,None,None,Special Nature Floors,RoomSpFloorIceFloe00,5253,7unCfS99xyM3swHCz,False
