Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Filename,Internal ID,Unique Entry ID,Purchasable
aluminum rug,False,1500,375,Gray,Gray,3x2,,Saharah,Medium rug,1.0.0,garden,outdoors,None,Slender Rugs,RugRectAluminumM00,7356,vFkuGbx8Sh2MDLEsq,True
apple rug,True,,1200,Red,Red,3x3,,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherAppleM00,7327,5GsjYsaz9NDtQ6QFB,False
Bell-bag rug,False,,6000,None,None,3x3,1200,Nook Miles Shop,Medium rug,1.2.0,expensive,None,None,Park Rugs,RugOtherBellM00,12214,KfRapmYKpizqQWzCg,False
black blocks rug,False,1500,375,Black,Gray,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM03,11104,4kj8FXzMTqvZvqEra,True
black wooden-deck rug,False,1500,375,Black,Black,3x2,,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,RugRectDeckM03,7382,kQDKkEGfdAjqPxd4w,True
black-design kitchen mat,False,1000,250,Black,Orange,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS03,7594,G7CAPiAEpYv6QKbsL,True
blue argyle rug,False,2000,500,Blue,Green,4x3,,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,RugRectArgyleL02,8467,uw8DvCwwBia7ozA72,True
blue blocks rug,False,1500,375,Blue,Blue,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM01,11102,Mjxd8kenDFZgTFXcm,True
blue dotted rug,False,2000,500,Blue,Blue,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectDotL03,7467,JAAx9zSMrjXKKw2ij,True
blue kilim-style carpet,False,2000,500,Blue,Black,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareKirimL01,9316,MhvdxvmyKtddid2G2,True
blue kitchen mat,False,1000,250,Blue,Blue,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectKitchenS02,8394,SLBDbK365pHRnKE5k,True
blue medium round mat,False,1500,375,Blue,Blue,3x3,,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleM02,9546,JfLKCbWRz4CozZYpH,True
blue message mat,False,1000,250,Blue,Blue,2x1,,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,RugOtherMessageS01,9310,5grLuDzGkNL4DYk4r,True
blue Persian rug,False,2000,500,Blue,Beige,5x5,,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,RugSquarePersianL01,8035,CDY97qjWg4xG6egyS,True
blue shaggy rug,False,2000,500,Blue,Blue,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareShaggyL02,9564,v4ZJPY2ToZPHXp6KH,True
blue small round mat,False,1000,250,Blue,Blue,2x2,,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleS02,9549,BxaqCsC7TqwGdHpib,True
blue stripes rug,False,2000,500,Blue,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectBorderL02,7533,dAHzKeTqwA9wD2yfa,True
blue vinyl sheet,False,1500,375,Blue,Colorful,3x2,,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,RugRectVinylM01,7404,b8xZjiyqLPWJsgt73,True
blue wavy rug,False,2000,500,Blue,Light blue,4x3,,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,RugRectWaveL02,7458,SbRQxAyR7EZSRBb4j,True
blue wedding rug,False,1500,375,None,None,3x2,,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,RugRectJuneBrideM00,12462,ghEfAZG8Lt5sb8nt3,False
blue-design kitchen mat,False,1000,250,Blue,Black,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS01,7595,DiEHu3wPobZXzhhp8,True
botanical rug,False,2000,500,Green,Green,4x3,,Saharah,Large rug,1.0.0,living room,None,None,Slender Pattern Rugs,RugRectBotanicalL00,7353,nEqsaya7wt6FsWwDC,True
brown argyle rug,False,2000,500,Brown,Yellow,4x3,,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,RugRectArgyleL03,8468,yrQTuyQr2m6axKkr2,True
brown kitchen mat,False,1000,250,Brown,Brown,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectKitchenS00,7341,2ya9gAeftrSe4YSmE,True
brown shaggy rug,False,2000,500,Brown,Brown,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareShaggyL01,9563,cAFej6s3C7T3DYykj,True
brown wooden-deck rug,False,1500,375,Brown,Brown,3x2,,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,RugRectDeckM00,7323,MSPQjkRRMRGNRTeEt,True
Bunny Day rug,True,,2400,None,None,3x3,,Crafting,,1.1.0a,fancy,child's room,Bunny Day,Icon Rugs,RugOtherEasterM00,7546,6tC8Zhswobdah6ftE,False
cherry rug,True,,1200,Red,Red,3x3,,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherCherryM00,7328,R9Bxb8FQw7Fj2YuCa,False
colorful vinyl sheet,False,1500,375,Colorful,Colorful,3x2,,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,RugRectVinylM00,7359,FAAQgrJJM4svoYJb8,True
dark bamboo rug,True,,960,Brown,Brown,3x2,,Crafting,,1.0.0,zen-style,None,None,Wood Rugs,RugRectBambooM01,11114,yC3qR56GTSs3PZuJi,False
Earth rug,False,1500,375,Blue,White,3x3,,Saharah,Medium rug,1.0.0,space,child's room,None,Icon Rugs,RugRoundEarthM00,7357,RPF9JQeXN8cD4afuE,True
fish rug,False,,375,Light blue,Light blue,3x3,,Fishing Tourney,,1.0.0,ocean,child's room,None,Icon Rugs,RugOtherFishM00,7361,iWb2Ca8YMDYnpyDrx,False
fluffy rug,False,1500,375,White,White,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Icon Rugs,RugOtherCloudM00,7329,DKPzh943uZYKHKsX7,True
fossil rug,False,1500,375,Purple,White,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,RugOtherFossilM00,7366,P2tKuDsb8sxfpKXh3,True
green checked rug,False,2000,500,Green,Purple,4x4,,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,RugSquareCheckQuiltL03,7464,hAYpTXLShJh7p5gcB,True
green kilim-style carpet,False,2000,500,Green,Green,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareKirimL02,9314,86w3TxnYsZLSzeX2q,True
green kitchen mat,False,1000,250,Green,Green,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectKitchenS03,8393,QpRcMgKRTNvayFdy9,True
green shaggy rug,False,2000,500,Green,Green,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareShaggyL00,7354,hNWup2nSxzMMsGfyy,True
green stripes rug,False,2000,500,Green,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectBorderL03,7534,DEEzqeCYXaxA8i63W,True
iron entrance mat,False,1000,250,Black,Black,2x1,,Saharah,Small rug,1.0.0,shop,expensive,iron,Slender Rugs,RugRectIronmatS00,7337,KaHhjd5QbpmmmhkCg,True
ivory medium round mat,False,1500,375,Beige,White,3x3,,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleM00,7325,ucw27wEffTFj9DK4v,True
ivory simple bath mat,False,1000,250,Beige,Beige,2x1,,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,RugRectBathmatS00,7333,iFx2DHj9qJsY8vzsT,True
ivory small round mat,False,1000,250,Beige,White,2x2,,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleS00,7334,8to7AD6FkrkZkaKX5,True
lacy rug,False,1500,375,Beige,White,3x3,,Saharah,Medium rug,1.0.0,fancy,expensive,None,Shaggy Round Rugs,RugRoundLaceM00,7368,bzWc6Hh3tAnYcgh3f,True
ladybug rug,False,,375,Red,Black,3x3,,Bug-Off,,1.0.0,fancy,child's room,None,Icon Rugs,RugRoundLadybirdM00,7360,T7T3r6GJqfhndy5xp,False
light bamboo rug,True,,2400,Beige,Brown,3x2,,Crafting,,1.0.0,zen-style,None,None,Wood Rugs,RugRectBambooM00,11113,c34AemWJDW8WvYGrm,False
magic-circle rug,False,1500,375,Purple,Purple,3x3,,Saharah,Medium rug,1.0.0,horror,child's room,None,Shaggy Round Rugs,RugRoundMagicM00,7367,77PHyfuxLmPTgriT2,True
modern wavy rug,False,2000,500,Colorful,Colorful,4x3,,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,RugRectWaveL00,7350,tfdJqWZ2ETosBdHem,True
Mom's cool kitchen mat,False,,88,Light blue,Light blue,2x1,,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,RugRectMomS00,7402,QR6HWdrKgLeoFAkzR,False
Mom's lively kitchen mat,False,,88,Yellow,Yellow,2x1,,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,RugRectMomS02,9543,MvLXeraTpCoKRqmWA,False
Mom's playful kitchen mat,False,,88,Pink,Pink,2x1,,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,RugRectMomS01,9542,3F5HHssaHXMit7YMH,False
Mom's reliable kitchen mat,False,,88,Purple,Purple,2x1,,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,RugRectMomS03,9541,pe2KbbDbmkWPyd56c,False
monochromatic dotted rug,False,2000,500,Black,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectDotL00,7349,n7kdsLeGa9sFzPfYR,True
monochromatic wavy rug,False,2000,500,Black,White,4x3,,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,RugRectWaveL01,7456,KEQx7PcEYYP5C8QGW,True
mush rug,False,1500,375,Red,Red,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,mush,Icon Rugs,RugOtherMushM00,7363,deKdNh2bu4udJ5zYx,True
natural wooden-deck rug,False,1500,375,Brown,Brown,3x2,,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,RugRectDeckM01,7380,4xyhHztk2b3GbRKu6,True
Nook Inc. botanical rug,False,,5000,None,None,3x3,1000,Nook Miles Shop,Medium rug,1.1.0,fancy,living room,None,Park Rugs,RugOtherTanukiM00,12325,WiHenFMXuxj7q2rgq,False
Nook Inc. rug,False,,5000,Green,Green,3x3,1000,Nook Miles Shop,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,RugOtherLeafM00,7364,HFmdcXn43ApSRKdk4,False
Nook Inc. silk rug,False,,3000,None,None,4x3,600,Nook Miles Shop,Large rug,1.1.0,facility,shop,None,Park Rugs,RugRectTanukiL00,12396,XQ72LLzAakWbavKFr,False
orange rug,True,,1200,Orange,Orange,3x3,,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherOrangeM00,7330,cXGa9CDpwXcCMzQw2,False
oval entrance mat,False,1000,250,Blue,Blue,2x1,,Saharah,Small rug,1.0.0,living room,None,None,Slender Rugs,RugOtherCountryS00,7370,TJaw3inQooLN9DXGt,True
peach checked rug,False,2000,500,Pink,Light blue,4x4,,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,RugSquareCheckQuiltL02,7463,QLtQLYyCeg7A28tzC,True
peach rug,True,,1200,Pink,Pink,3x3,,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherPeachM00,7331,tqGgxHpeDfRCGRrjY,False
peach stripes rug,False,2000,500,Pink,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectBorderL01,7532,LGhZCR8PgGQJYqST9,True
pear rug,True,,1200,Green,Green,3x3,,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherPearM00,7332,hLakk5wPNF2RHRCHR,False
pink heart rug,False,1500,375,Pink,Pink,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,RugOtherHeartM00,7322,TY5kKqhPpxgifmRJF,True
pink rose rug,False,1500,375,Pink,Pink,3x3,,Saharah,Medium rug,1.0.0,fancy,expensive,None,Rose Rug,RugOtherRoseM00,7365,adYBsXgG3etWwtsds,True
purple heart rug,False,1500,375,Purple,Pink,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,RugOtherHeartM02,7580,LzB8y9NY5cwZJETQy,True
purple Persian rug,False,2000,500,Purple,Beige,5x5,,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,RugSquarePersianL03,8037,QzKyWFwcBF6DNoMQS,True
purple shaggy rug,False,2000,500,Purple,Purple,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareShaggyL03,9562,jYsKTqR44uCHSGbnE,True
red argyle rug,False,2000,500,Red,Red,4x3,,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,RugRectArgyleL01,8466,JcnvagFXFrtRojuX5,True
red blocks rug,False,1500,375,Red,Red,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM00,11101,PWaKA8fJZfRLdgBjP,True
red carpet,False,1500,375,Red,Red,3x2,,Saharah,Medium rug,1.0.0,expensive,None,None,Slender Rugs,RugRectElegantM00,7348,DrZgYBvviB7CGP3nx,True
red dotted rug,False,2000,500,Red,Red,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectDotL02,7465,6KoyAtx4QA2BuXKea,True
red kilim-style carpet,False,2000,500,Red,Red,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareKirimL00,9313,dhvJNNbRm9qDxXrpJ,True
red medium round mat,False,1500,375,Red,Red,3x3,,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleM01,9545,Ev2FGNQPGqW8Nn7fk,True
red message mat,False,1000,250,Red,Red,2x1,,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,RugOtherMessageS03,9312,uYJPL9oP3tgpZHNhL,True
red Persian rug,False,2000,500,Red,Beige,5x5,,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,RugSquarePersianL00,7347,ToTG8debi3YH93yqJ,True
red rose rug,False,1500,375,Red,Red,3x3,,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,RugOtherRoseM01,8758,cXt7bSZGo8G4MWZ3x,True
red small round mat,False,1000,250,Red,Red,2x2,,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleS01,9548,z6C8NBYbSkshNZG7J,True
red vinyl sheet,False,1500,375,Red,Colorful,3x2,,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,RugRectVinylM02,7405,2tPPLjzq42Z8wjtNv,True
red wavy rug,False,2000,500,Red,Yellow,4x3,,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,RugRectWaveL03,7457,pPTXqs45y6k23f62j,True
red wedding rug,False,1500,375,None,None,3x2,,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,RugRectJuneBrideM02,12465,LmxrQZwL5HrEzsHqK,False
red-and-blue checked rug,False,2000,500,Red,Blue,4x4,,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,RugSquareCheckQuiltL00,7343,zrouM9QCzYKg3kBcc,True
red-design kitchen mat,False,1000,250,Red,Black,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS00,7340,7KtKd8P5tbGSfG2qZ,True
retro dotted rug,False,2000,500,Green,Green,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectDotL01,7466,29Pm3PcqEJ3nP36sh,True
rough rug,False,1000,250,Brown,Brown,2x1,,Saharah,Small rug,1.0.0,school,facility,None,Slender Rugs,RugRectDoormatS00,7324,oEg77tXhJ6GReb7gp,True
rubber mud mat,False,1000,250,Green,Green,2x1,,Saharah,Small rug,1.0.0,school,None,None,Slender Rugs,RugRectRubberScraperS00,7339,Er4wGFd53SAq3zsGX,True
shanty mat,False,2000,500,Brown,Beige,4x4,,Saharah,Large rug,1.0.0,zen-style,None,None,Simple Rugs,RugSquareOldStrawL00,7345,jLR8r3aHpRe4yJyxA,True
shell rug,True,,5400,Beige,Pink,3x3,,Crafting,,1.0.0,ocean,fancy,shell,Park Rugs,RugOtherShellM00,7362,kC3KJRKazh5c6m2uN,False
simple green bath mat,False,1000,250,Green,Green,2x1,,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,RugRectBathmatS03,7516,zfRhHqsvfBg5D6CJA,True
simple medium avocado mat,False,1500,375,Green,Green,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM03,7524,9BzJWMCmruohLvY8x,True
simple medium black mat,False,1500,375,Black,Black,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM07,7539,Nmx4FN5RX5LJ2xRF8,True
simple medium blue mat,False,1500,375,Blue,Blue,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM02,7523,7nEjDqYTsZdF3n8Ky,True
simple medium brown mat,False,1500,375,Brown,Brown,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM01,7519,FAqsC7JonfkPt3jc2,True
simple medium orange mat,False,1500,375,Orange,Orange,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM05,7536,Bt6N5gWJJNtdNg8TC,True
simple medium purple mat,False,1500,375,Purple,Purple,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM06,7538,9WryqBnvAMiSF7vJ6,True
simple medium red mat,False,1500,375,Red,Red,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM04,7540,yB22Mz4KP2wbzjYtv,True
simple navy bath mat,False,1000,250,Gray,Gray,2x1,,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,RugRectBathmatS01,7518,AZQdF6gMi89DXP9K3,True
simple pink bath mat,False,1000,250,Pink,Pink,2x1,,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,RugRectBathmatS02,7517,Lqze8wPcmFatBMFDw,True
simple small avocado mat,False,1000,250,Green,Green,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS03,7520,PKfPEbTw8C55Qc5oH,True
simple small black mat,False,1000,250,Black,Black,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS07,7543,uSGDYs7hCuxMBTZbi,True
simple small blue mat,False,1000,250,Blue,Blue,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS02,7521,Q7FSQ4q6Hzt2YihKH,True
simple small brown mat,False,1000,250,Brown,Brown,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS01,7522,aKCpcBCjrn6wWcyw2,True
simple small orange mat,False,1000,250,Orange,Orange,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS05,7541,WomwFGQsQgogZNtQf,True
simple small purple mat,False,1000,250,Purple,Purple,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS06,7542,h7wpDFdwKgJs2BvgG,True
simple small red mat,False,1000,250,Red,Red,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS04,7537,nRakPP7nXacJB3YHX,True
sloppy rug,False,2000,500,Light blue,Light blue,4x4,,Saharah,Large rug,1.0.0,living room,child's room,None,Simple Rugs,RugOtherSloppyL00,7371,337rrvb9iapfJC4nb,True
snowflake rug,False,1500,375,Light blue,White,3x3,,Saharah,Medium rug,1.0.0,freezing cold,fancy,None,Shaggy Round Rugs,RugRoundSnowM00,7346,upNaAkxPwQRHP6NXi,True
tatami mat,False,1500,375,Green,Yellow,3x2,,Saharah,Medium rug,1.0.0,zen-style,None,None,Wood Rugs,RugRectTatamiM00,7369,m7efgfNG3HZR6G29s,True
tropical rug,False,1500,375,Green,Beige,3x3,,Saharah,Medium rug,1.0.0,ocean,None,None,Park Rugs,RugRoundIslandM00,7358,tjgfDcBRhWQrxhjzk,True
turquoise heart rug,False,1500,375,Light blue,Light blue,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,RugOtherHeartM01,7579,MeN8d4a4YKoFc2zDW,True
white heart rug,False,1500,375,White,White,3x3,,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,RugOtherHeartM03,7578,ur5qNz9QEkkCEPRDQ,True
white message mat,False,1000,250,White,White,2x1,,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,RugOtherMessageS00,7338,ey5h5kDoaHvTgEdkj,True
white rose rug,False,1500,375,White,White,3x3,,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,RugOtherRoseM03,8757,fWrizz9CC3Lg8apM2,True
white simple medium mat,False,1500,375,Beige,White,3x3,,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleM00,7335,vXD2oADv2fg4QRCp6,True
white simple small mat,False,1000,250,Beige,White,2x2,,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,RugSquareSimpleS00,7336,vhxZi6oAZWm9gxRfK,True
white wedding rug,False,1500,375,None,None,3x2,,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,RugRectJuneBrideM03,12464,At7cbGksXn6rvhkQr,False
white wooden-deck rug,False,1500,375,White,White,3x2,,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,RugRectDeckM02,7381,nmBMJkGHnxGdzYzzP,True
yellow argyle rug,False,2000,500,Yellow,Yellow,4x3,,Saharah,Large rug,1.0.0,living room,fancy,None,Slender Pattern Rugs,RugRectArgyleL00,7352,TEzohiZZfTSxoSNpd,True
yellow blocks rug,False,1500,375,Yellow,Brown,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM02,11103,Gb4rwvjZv74CDT8qE,True
yellow checked rug,False,2000,500,Yellow,Green,4x4,,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,RugSquareCheckQuiltL01,7462,GdqeFkwTpKJLFQpyK,True
yellow kilim-style carpet,False,2000,500,Yellow,Beige,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareKirimL03,9315,274gPov62L9zR3onG,True
yellow kitchen mat,False,1000,250,Yellow,Yellow,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectKitchenS01,8395,CyGFnLgFnD3jrgKio,True
yellow medium round mat,False,1500,375,Yellow,Yellow,3x3,,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleM03,9544,TfKNppy5CiswuZGSw,True
yellow message mat,False,1000,250,Yellow,Yellow,2x1,,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,RugOtherMessageS02,9311,6NpR38JASvkZDezYq,True
yellow Persian rug,False,2000,500,Yellow,Beige,5x5,,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,RugSquarePersianL02,8036,HdsBjfD2ongYrBt5m,True
yellow rose rug,False,1500,375,Yellow,Yellow,3x3,,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,RugOtherRoseM02,8759,jta8sYzY36aqcjp3T,True
yellow small round mat,False,1000,250,Yellow,Yellow,2x2,,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleS03,9547,FS2ZvZLcRQDHp6hHr,True
yellow stripes rug,False,2000,500,Yellow,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectBorderL00,7351,mJP9gz2YZAcQsWELE,True
yellow vinyl sheet,False,1500,375,Yellow,Colorful,3x2,,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,RugRectVinylM03,7403,8tMeC24TcYdot9ZuC,True
yellow-design kitchen mat,False,1000,250,Yellow,Black,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS02,7596,B76hfTkYR2vm96Hfd,True
